driving_distance,from_center,to_center
1215.63,HUNOR,GAKTP
1177.91,HUNOR,GDUTP
1023.89,HUNOR,GHOTP
964.88,HUNOR,GMATP
1201.23,HUNOR,GNWOR
176.04,HUNOR,HSZTP
1409.25,HUNOR,NRDTP
1159.9,NRSTP,AGATP
157.02,NRSTP,BGETP
779.48,NRSTP,GAUTP
225.43,NRSTP,GESTP
474.46,NRSTP,GHSTP
839.65,NRSTP,GMHTP
661.47,NRSTP,GOSOR
1407.26,NRSTP,HUNOR
0,NRSTP,NRSTP
940.54,NRSTP,AIBTP
143.5,NRSTP,BLATP
236.75,NRSTP,GBBTP
509.49,NRSTP,GFDTP
599.82,NRSTP,GJETP
434.25,NRSTP,GMIOR
347.56,NRSTP,LLXTP
62.59,NRSTP,NUTTP
62.59,NRSTP,NUWTP
1188.58,NRSTP,AKTTP
158.56,NRSTP,BLETP
158.56,NRSTP,BLMTP
688.92,NRSTP,GBCTP
453.96,NRSTP,GFMTP
585.94,NRSTP,GKITP
843.22,NRSTP,GMLTP
673.62,NRSTP,GROTP
76.55,NRSTP,NAETP
1254.52,NRSTP,SLOTP
997.27,NRSTP,AOETP
230.89,NRSTP,BLGTP
680.36,NRSTP,GBETP
654.96,NRSTP,GFRTP
254.75,NRSTP,GKKTP
257.75,NRSTP,GMNTP
631.37,NRSTP,GSTTP
67.75,NRSTP,NAVTP
998.43,NRSTP,AOLTP
1341.36,NRSTP,CHROR
391.96,NRSTP,GBMTP
420.1,NRSTP,GGITP
254.75,NRSTP,GKLTP
456.52,NRSTP,GMRTP
668.05,NRSTP,GTUTP
77.91,NRSTP,NAMTP
77.91,NRSTP,NAWTP
1158.73,NRSTP,AWDTP
1623.21,NRSTP,COSTP
291.05,NRSTP,GBOTP
629.32,NRSTP,GHATP
272.38,NRSTP,GKMTP
432.12,NRSTP,GMZTP
567.43,NRSTP,GWZTP
246.21,NRSTP,NGRTP
1160.48,NRSTP,AWGTP
1354.9,NRSTP,CRITP
628.82,NRSTP,GBWOR
517.21,NRSTP,GHBTP
478.63,NRSTP,GKSTP
649.8,NRSTP,GNBTP
1410.82,NRSTP,HBSTP
38.6,NRSTP,NLBTP
106.37,NRSTP,BANTP
1339.46,NRSTP,CZATP
843.22,NRSTP,GBYOR
500.8,NRSTP,GHGTP
669.21,NRSTP,GLPTP
412.82,NRSTP,GNDOR
1664.11,NRSTP,HDBTP
199.02,NRSTP,NMSTP
1342.45,NRSTP,CZMTP
777.36,NRSTP,GDRTP
440.58,NRSTP,GHMTP
558.47,NRSTP,GLUTP
688.13,NRSTP,GNOOR
1479.47,NRSTP,HPCTP
109.73,NRSTP,NNYTP
158.3,NRSTP,BBRTP
214.84,NRSTP,GAKTP
225.85,NRSTP,GDUTP
422.98,NRSTP,GHOTP
509.72,NRSTP,GMATP
217.05,NRSTP,GNWOR
1578.49,NRSTP,HSZTP
2.3,NRSTP,NRDTP
460.77,AIBTP,AGATP
894.15,AIBTP,BGETP
181.34,AIBTP,GAUTP
732.66,AIBTP,GESTP
497.28,AIBTP,GHSTP
164.61,AIBTP,GMHTP
600.13,AIBTP,GOSOR
724.26,AIBTP,HUNOR
918.52,AIBTP,NRSTP
0,AIBTP,AIBTP
835.14,AIBTP,BLATP
747.22,AIBTP,GBBTP
505.06,AIBTP,GFDTP
539.95,AIBTP,GJETP
517.66,AIBTP,GMIOR
619.89,AIBTP,LLXTP
890.58,AIBTP,NUTTP
890.58,AIBTP,NUWTP
390.65,AIBTP,AKTTP
822.96,AIBTP,BLETP
822.96,AIBTP,BLMTP
749.28,AIBTP,GBCTP
513.13,AIBTP,GFMTP
1004.22,AIBTP,GKITP
140.75,AIBTP,GMLTP
942.71,AIBTP,GROTP
918.91,AIBTP,NAETP
456.59,AIBTP,SLOTP
314.27,AIBTP,AOETP
748.87,AIBTP,BLGTP
740.73,AIBTP,GBETP
378.34,AIBTP,GFRTP
678.46,AIBTP,GKKTP
802.19,AIBTP,GMNTP
317.05,AIBTP,GSTTP
927.38,AIBTP,NAVTP
315.43,AIBTP,AOLTP
591.54,AIBTP,CHROR
876.24,AIBTP,GBMTP
570.63,AIBTP,GGITP
678.46,AIBTP,GKLTP
605.86,AIBTP,GMRTP
344.51,AIBTP,GTUTP
925.92,AIBTP,NAMTP
925.92,AIBTP,NAWTP
475.73,AIBTP,AWDTP
872.54,AIBTP,COSTP
656.75,AIBTP,GBOTP
606.13,AIBTP,GHATP
673.19,AIBTP,GKMTP
516.62,AIBTP,GMZTP
407.69,AIBTP,GWZTP
959.14,AIBTP,NGRTP
477.48,AIBTP,AWGTP
556.97,AIBTP,CRITP
318.57,AIBTP,GBWOR
433.53,AIBTP,GHBTP
472.8,AIBTP,GKSTP
358.83,AIBTP,GNBTP
727.82,AIBTP,HBSTP
942.06,AIBTP,NLBTP
865.62,AIBTP,BANTP
588.51,AIBTP,CZATP
140.75,AIBTP,GBYOR
919.08,AIBTP,GHGTP
597.22,AIBTP,GLPTP
762.45,AIBTP,GNDOR
981.1,AIBTP,HDBTP
759.99,AIBTP,NMSTP
591.49,AIBTP,CZMTP
633.58,AIBTP,GDRTP
623.47,AIBTP,GHMTP
994.44,AIBTP,GLUTP
748.49,AIBTP,GNOOR
780.34,AIBTP,HPCTP
812.97,AIBTP,NNYTP
857.49,AIBTP,BBRTP
730.22,AIBTP,GAKTP
711.29,AIBTP,GDUTP
762.62,AIBTP,GHOTP
444.34,AIBTP,GMATP
734.62,AIBTP,GNWOR
895.49,AIBTP,HSZTP
919.4,AIBTP,NRDTP
1097.04,BLATP,AGATP
65.64,BLATP,BGETP
661.6,BLATP,GAUTP
225.21,BLATP,GESTP
333.17,BLATP,GHSTP
738.25,BLATP,GMHTP
678.51,BLATP,GOSOR
1344.39,BLATP,HUNOR
142.85,BLATP,NRSTP
822.66,BLATP,AIBTP
0,BLATP,BLATP
242.98,BLATP,GBBTP
492.42,BLATP,GFDTP
610.17,BLATP,GJETP
372.84,BLATP,GMIOR
206.27,BLATP,LLXTP
168.66,BLATP,NUTTP
168.66,BLATP,NUWTP
1087.42,BLATP,AKTTP
20.09,BLATP,BLETP
20.09,BLATP,BLMTP
747.81,BLATP,GBCTP
391.09,BLATP,GFMTP
679.68,BLATP,GKITP
725.34,BLATP,GMLTP
767.36,BLATP,GROTP
193.28,BLATP,NAETP
1153.36,BLATP,SLOTP
934.4,BLATP,AOETP
98.34,BLATP,BLGTP
739.25,BLATP,GBETP
513.67,BLATP,GFRTP
199.49,BLATP,GKKTP
324.03,BLATP,GMNTP
515.43,BLATP,GSTTP
201.75,BLATP,NAVTP
935.57,BLATP,AOLTP
1278.49,BLATP,CHROR
485.7,BLATP,GBMTP
364.43,BLATP,GGITP
199.49,BLATP,GKLTP
400.85,BLATP,GMRTP
550.17,BLATP,GTUTP
201.71,BLATP,NAMTP
201.71,BLATP,NAWTP
1095.87,BLATP,AWDTP
1560.34,BLATP,COSTP
228.29,BLATP,GBOTP
633.93,BLATP,GHATP
213.32,BLATP,GKMTP
370.71,BLATP,GMZTP
504.56,BLATP,GWZTP
352.28,BLATP,NGRTP
1097.62,BLATP,AWGTP
1253.73,BLATP,CRITP
515.66,BLATP,GBWOR
454.34,BLATP,GHBTP
